循環器担当学生,月,8:00,9:00,朝カンファレンス,8-2病棟CR(集合)
循環器担当学生,月,9:00,12:00,実習オリエンテーション、担当患者割り振り,8-2病棟CR(集合)
循環器担当学生,月,12:00,13:00,担当患者情報収集,
循環器担当学生,月,13:00,14:00,【呼吸器】クルズス,8-2病棟CR(集合)
循環器担当学生,月,14:00,17:00,【循環器】症例カンファレンス(時間未定),8-2病棟CR(集合)
循環器担当学生,火,9:00,10:00,【循環器】手術患者説明＆クルズス,8-2病棟CR(集合)
循環器担当学生,火,10:00,15:00,【循環器】手術見学,手術室
循環器担当学生,火,15:00,17:00,【呼吸器】クルズス(時間未定),医学部医局CR
循環器担当学生,水,9:00,10:00,【循環器】手術患者説明＆クルズス,8-2病棟CR(集合)
循環器担当学生,水,10:00,15:00,【循環器】手術見学,手術室
循環器担当学生,水,15:00,17:00,【循環器】クルズス(時間未定),8-2病棟CR(集合)
循環器担当学生,木,9:00,10:00,【循環器】手術患者説明＆クルズス,8-2病棟CR(集合)
循環器担当学生,木,10:00,15:00,循環器外科手術見学,手術室
循環器担当学生,木,15:00,16:00,【呼吸器】クルズス,医学部医局CR
循環器担当学生,木,16:00,17:00,【呼吸器】クルズス(時間未定),医学部医局CR
循環器担当学生,金,9:00,15:00,【呼吸器】手術見学,手術室
循環器担当学生,金,15:00,17:00,まとめプレゼンテーション(時間未定),医学部医局CR
