担当患者手術日,月,8:00,9:00,朝カンファレンス,8-2病棟CR(集合)
担当患者手術日,月,9:00,12:00,実習オリエンテーション、担当患者割り振り,8-2病棟CR(集合)
担当患者手術日,月,12:00,13:00,担当患者情報収集,
担当患者手術日,月,13:00,14:00,【呼吸器】クルズス,8-2病棟CR(集合)
担当患者手術日,月,14:00,17:00,【循環器】症例カンファレンス(時間未定),8-2病棟CR(集合)
担当患者手術日,火,9:00,10:00,【循環器】手術患者説明＆クルズス,8-2病棟CR(集合)
担当患者手術日,火,10:00,17:00,【循環器】手術参加(時間未定),手術室(集合)
担当患者手術日,水,7:50,9:00,【呼吸器】手術室入室準備,8-2病棟CR(集合)
担当患者手術日,水,9:00,10:00,【循環器】手術患者説明＆クルズス,8-2病棟CR(集合)
担当患者手術日,水,10:00,17:00,【循環器・呼吸器】手術参加(時間未定),手術室(集合)
担当患者手術日,木,9:00,10:00,【循環器】手術患者説明＆クルズス,8-2病棟CR(集合)
担当患者手術日,木,10:00,17:00,【循環器】手術参加(時間未定),手術室(集合)
担当患者手術日,金,7:50,9:00,【呼吸器】手術室入室準備,8-2病棟CR(集合)
担当患者手術日,金,9:00,15:00,【呼吸器】手術参加,手術室(集合)
担当患者手術日,金,15:00,17:00,まとめプレゼンテーション(時間未定),医学部医局CR(集合)
